# ENERGY SUPPLY GROUP 28,
# Wind park in Luxemburg with 140 turbines.,
#,
# time [s], power [MW]
727200,107.859253
728100,115.226295
729000,122.86616
729900,130.783808
730800,138.9842
731700,138.9842
732600,147.472296
733500,147.472296
734400,147.472296
735300,147.472296
736200,147.472296
737100,147.472296
738000,138.9842
738900,130.783808
739800,130.783808
740700,122.86616
741600,115.226295
742500,107.859253
743400,100.760073
744300,93.923795
745200,87.345458
746100,87.345458
747000,87.345458
747900,87.345458
748800,87.345458
749700,87.345458
750600,87.345458
751500,87.345458
752400,87.345458
753300,87.345458
754200,93.923795
755100,93.923795
756000,93.923795
756900,87.345458
757800,87.345458
758700,81.020103
759600,81.020103
760500,74.942769
761400,69.108495
762300,69.108495
763200,63.51232
764100,58.149286
765000,53.01443
765900,48.102793
766800,43.409414
767700,43.409414
768600,38.929333
769500,38.929333
770400,38.929333
771300,34.657589
772200,34.657589
773100,30.589223
774000,26.719273
774900,26.719273
775800,26.719273
776700,26.719273
777600,16.250318
778500,10.172157
779400,7.388537
780300,2.307419
781200,0
782100,0
783000,0
783900,0
784800,0
785700,0
786600,0
787500,0
788400,0
789300,0
790200,0
791100,0
792000,0
792900,0
793800,0
794700,0
795600,0
796500,0
797400,0
798300,0
799200,0
800100,0
801000,0
801900,0
802800,0
803700,0
804600,0
805500,0
806400,0
807300,0
808200,0
809100,0
810000,0
810900,0
811800,0
812700,0
813600,2.307419
814500,2.307419
815400,2.307419
816300,4.768612
817200,4.768612
818100,4.768612
819000,7.388537
819900,7.388537
820800,7.388537
821700,7.388537
822600,4.768612
823500,4.768612
824400,2.307419
825300,0
826200,0
827100,0
828000,0
828900,0
829800,0
830700,0
831600,0
832500,0
833400,0
834300,0
835200,0
836100,0
837000,0
837900,0
838800,0
839700,0
840600,0
841500,0
842400,0
843300,0
844200,0
845100,0
846000,0
846900,0
847800,0
848700,0
849600,0
850500,0
851400,0
852300,0
853200,0
854100,0
855000,0
855900,0
856800,0
857700,0
858600,0
859500,0
860400,0
861300,0
862200,0
863100,0
864000,0
864900,0
865800,0
866700,0
867600,0
868500,0
869400,0
870300,0
871200,0
872100,0
873000,0
873900,0
874800,0
875700,0
876600,0
877500,0
878400,0
879300,0
880200,0
881100,0
882000,0
882900,0
883800,0
884700,0
885600,0
886500,0
887400,0
888300,0
889200,0
890100,0
891000,0
891900,0
892800,2.307419
893700,2.307419
894600,2.307419
895500,2.307419
896400,2.307419
897300,2.307419
898200,2.307419
899100,2.307419
900000,2.307419
900900,2.307419
901800,2.307419
902700,0
903600,0
904500,0
905400,0
906300,0
907200,0
908100,0
909000,0
909900,0
910800,0
911700,0
912600,0
913500,0
914400,0
915300,0
916200,0
917100,0
918000,0
918900,0
919800,0
920700,0
921600,2.307419
922500,2.307419
923400,2.307419
924300,2.307419
